Optimization Level:-O0 N:3 M:12
Update time (secs):     0.000
Gups:  0.120420
Update time (secs):     0.000
Gups:  0.123006
Update time (secs):     0.000
Gups:  0.121556
Update time (secs):     0.000
Gups:  0.110838
Update time (secs):     0.000
Gups:  0.123006
Update time (secs):     0.000
Gups:  0.120420
Update time (secs):     0.000
Gups:  0.121556
Update time (secs):     0.000
Gups:  0.122713
Update time (secs):     0.000
Gups:  0.121556
Update time (secs):     0.000
Gups:  0.121843
Optimization Level:-O1 N:3 M:12
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.422456
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.436776
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.409045
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.409045
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.425947
Optimization Level:-O2 N:3 M:12
Update time (secs):     0.000
Gups:  0.422456
Update time (secs):     0.000
Gups:  0.436776
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.456103
Update time (secs):     0.000
Gups:  0.456103
Update time (secs):     0.000
Gups:  0.425947
Update time (secs):     0.000
Gups:  0.422456
Update time (secs):     0.000
Gups:  0.456103
Update time (secs):     0.000
Gups:  0.440509
Optimization Level:-O3 N:3 M:12
Update time (secs):     0.000
Gups:  0.436776
Update time (secs):     0.000
Gups:  0.422456
Update time (secs):     0.000
Gups:  0.409045
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.409045
Update time (secs):     0.000
Gups:  0.422456
Update time (secs):     0.000
Gups:  0.436776
Update time (secs):     0.000
Gups:  0.440509
Update time (secs):     0.000
Gups:  0.456103
Update time (secs):     0.000
Gups:  0.436776
Optimization Level:-O0 N:7 M:28
Update time (secs):     0.000
Gups:  0.119899
Update time (secs):     0.000
Gups:  0.119068
Update time (secs):     0.000
Gups:  0.119542
Update time (secs):     0.000
Gups:  0.119542
Update time (secs):     0.000
Gups:  0.119899
Update time (secs):     0.000
Gups:  0.120019
Update time (secs):     0.000
Gups:  0.119899
Update time (secs):     0.000
Gups:  0.120500
Update time (secs):     0.000
Gups:  0.118951
Update time (secs):     0.000
Gups:  0.120019
Optimization Level:-O1 N:7 M:28
Update time (secs):     0.000
Gups:  0.511741
Update time (secs):     0.000
Gups:  0.503176
Update time (secs):     0.000
Gups:  0.511741
Update time (secs):     0.000
Gups:  0.511741
Update time (secs):     0.000
Gups:  0.511741
Update time (secs):     0.000
Gups:  0.511741
Update time (secs):     0.000
Gups:  0.494893
Update time (secs):     0.000
